iso_i,iso_j,value_ij,dist_ij,rgdp_i,rgdp_j,currency_ij
ALB,EST,515.5516192,2039.758027,12044208128,19640621056,0
ALB,ETH,79.27799988,4007.510363,12044208128,32437389312,0
ALB,FIN,1013.35204,2256.390924,12044208128,2.51484E+11,0
ALB,FRA,65638.27004,1499.451467,12044208128,2.69367E+12,0
ALB,GBR,4116.285409,2040.18687,12044208128,2.30893E+12,0
ALB,GEO,122.9520025,1991.543798,12044208128,10766836736,0
ALB,GHA,16.24099922,4373.961898,12044208128,25978509312,0
ALB,GRC,109600.3379,451.4164143,12044208128,3.29837E+11,0
ALB,HKG,7862.380541,8745.475111,12044208128,2.14046E+11,0
ALB,HRV,3845.33324,552.6648876,12044208128,62636687360,0
ALB,HUN,15598.49538,695.8069026,12044208128,1.2936E+11,0
ALB,IND,12069.61019,5735.208986,12044208128,1.36537E+12,0
ALB,IRL,4591.076448,2401.968371,12044208128,2.33542E+11,0
ALB,IRQ,1891.614014,2361.794566,12044208128,1.11661E+11,0
ALB,ISL,86.42300141,3679.853163,12044208128,12823849984,0
ALB,ISR,78.71583271,1682.971338,12044208128,2.06479E+11,0
ALB,ITA,908359.6298,722.9528359,12044208128,2.18611E+12,0
ALB,JAM,31.77799988,9258.921416,12044208128,12125023232,0
ALB,JOR,544.3103635,1761.605545,12044208128,23818323968,0
ALB,JPN,6547.231985,9382.620588,12044208128,5.03514E+12,0
ALB,KAZ,593.9121706,4113.148639,12044208128,1.15309E+11,0
ALB,KOR,1882.691042,8665.201801,12044208128,9.01935E+11,0
ALB,KWT,1607.878925,2865.912897,12044208128,1.05911E+11,0
ALB,LBN,224.5350075,1605.584825,12044208128,35139633152,0
ALB,LKA,123.5356073,7000.817041,12044208128,42067976192,0
ALB,LTU,555.6469116,1593.106551,12044208128,37050081280,0
ALB,LVA,163.4899191,1774.892098,12044208128,25875781632,0
ALB,MAR,1300.024677,2493.350393,12044208128,90908401664,0
ALB,MEX,1652.791978,10737.21412,12044208128,8.95313E+11,0
ALB,MYS,294.487497,9263.162551,12044208128,2.02251E+11,0
ALB,NLD,9761.928211,1652.267998,12044208128,8.58034E+11,0
ALB,NOR,2343.977266,2271.86306,12044208128,3.78849E+11,0
